pop1,pop2,group,morph,corolla,GenDistv2,ColorDist,GeodesicDist,GenDist_v3_SNP_pc1_2,GeodesicDist_km
SMP,SSC,divergent,yellow,short,0.032125,80.9507532,1536630.93,0.323762467,1536.63093
SMP,SYH,divergent,yellow,short,0.036231,107.3595161,346290.1005,0.236611,346.2901005
SNG,SOZ,divergent,pink,long,0.031934,145.6144309,1644148.118,0.591032575,1644.148118
SNG,SPB,typical,typical,long,0.030404,75.40129125,1232287.748,0.153196196,1232.287748
SNG,SRS,typical,typical,long,0.026615,38.64286983,1411001.049,0.129798457,1411.001049
SNG,SSC,typical,typical,long,0.028602,51.91264297,396028.8597,0.059948816,396.0288597
SNG,SYH,typical,typical,long,0.033625,91.07253121,1729797.522,0.446307182,1729.797522
SOZ,SPB,divergent,pink,long,0.033438,78.37739186,1148401.901,0.441264501,1148.401901
SOZ,SRS,divergent,pink,long,0.0321,108.5106088,1704286.967,0.461597493,1704.286967
SOZ,SSC,divergent,pink,long,0.033065,134.2178453,1720733.781,0.531757668,1720.733781
SOZ,SYH,divergent,pink,long,0.038457,67.85439161,330008.3455,0.21273278,330.0083455
SPB,SRS,typical,typical,long,0.029048,37.09299125,557077.3854,0.02858906,557.0773854
SPB,SSC,typical,typical,long,0.033076,83.30829624,1023269.904,0.098267889,1023.269904
SPB,SYH,typical,typical,long,0.041834,17.02690212,974001.8556,0.294841427,974.0018556
SRS,SSC,typical,typical,long,0.028803,56.31721663,1072138.543,0.072220374,1072.138543
SRS,SYH,typical,typical,long,0.036095,52.9093763,1509787.322,0.321653328,1509.787322
SSC,SYH,typical,typical,long,0.039349,93.6167026,1730052.247,0.393105115,1730.052247
