,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,sp,gen,spp_gen,pop,reg2,morph,lat,long
48,KW_Sessiliflora-NE_SWAN-2_S13,-0.166327,-0.0932211,0.0166004,0.0208955,-0.0227644,-0.0243453,-0.0255284,-0.0244567,-0.011511,0.00908456,0.022211,-0.000174232,-0.0069599,0.0162665,-0.0169258,0.00261203,-0.0485293,-0.00116698,0.020967,-0.0506327,S,Sess,SessNE_Sess,SWAN,nS,typ,47.05053,-103.586368
49,KW_Sessiliflora-S_SBK-27_S31,-0.0185842,0.285734,0.00697491,-0.201245,-0.121609,-0.818071,0.220436,0.234762,0.0715138,0.0239854,0.123911,-0.148223,0.0311518,-0.0251319,-0.0248362,0.0213297,-0.0254087,0.0882858,-0.0931464,0.029437,S,Sess,SessS_Sess,SBK,sS,divP,30.06319,-102.27864
50,KW_Sessiliflora-S_SIC-17-11_S30,-0.0270036,0.369196,0.245224,-0.29671,-0.38227,0.297473,-0.064946,0.0229883,0.039503,0.071348,0.0671263,-0.131084,-0.0173739,-0.160877,-0.459651,-0.301636,0.230711,-0.0959585,-0.0200636,-0.146165,S,Sess,SessS_Sess,SIC,sS,divP,30.486035,-101.7882521
51,KW_Sessiliflora-S_SIC-17-7_S29,-0.0229873,0.339049,0.208312,-0.229359,-0.344433,0.255985,0.133809,-0.0563575,-0.111518,0.0608881,0.0988561,0.185243,-0.104847,0.213582,0.456909,0.326105,-0.315966,0.116331,-0.0501773,0.0487527,S,Sess,SessS_Sess,SIC,sS,divP,30.486035,-101.7882521
52,KW_Sessiliflora-S_SMAR-16_S32,-0.0464394,0.113793,-0.0249275,-0.0245027,0.061273,-0.0100144,0.0822364,-0.178355,-0.15024,-0.0963989,-0.427525,-0.027212,-0.0334101,-0.771495,0.0309312,0.190005,-0.166447,-0.000203664,-0.0681758,-0.0222949,S,Sess,SessS_Sess,SMAR,sS,divP,30.4145,-102.98168
53,KW_Sessiliflora-S_SMP-17-26_S26,0.0193241,0.0884878,0.0557126,0.0201432,0.000444557,-0.0542179,0.0124802,-0.0472834,0.0684848,-0.060726,-0.125005,0.0540268,0.205574,0.0381098,0.183561,0.133187,0.264959,-0.276491,0.46373,-0.142567,S,Sess,SessS_Sess,SMP,sS,divY,32.2852116,-100.7884505
54,KW_Sessiliflora-S_SMP-17-9_S25,0.0109278,0.120042,0.0398663,0.00587858,-0.0350056,-0.0625555,-0.0427648,-0.258881,-0.00297746,-0.0315097,-0.236137,0.0187707,0.460287,0.158315,0.0246165,0.307699,0.379312,-0.188635,-0.279941,0.070078,S,Sess,SessS_Sess,SMP,sS,divY,32.2852116,-100.7884505
55,KW_Sessiliflora-S_SOZ-6_S28,0.0340664,0.343704,0.580023,0.191543,0.670706,0.046608,0.0369408,0.0827079,-0.0531001,-0.0380148,0.101726,-0.0156159,-0.0436623,0.0443417,-0.0282518,-0.0152077,-0.00616416,0.0255347,-0.0348085,-0.0367034,S,Sess,SessS_Sess,SOZ,sS,divP,30.68227,-101.35791
56,KW_Sessiliflora-S_SYH-14_S27,-0.161995,0.26115,-0.374882,-0.0247616,0.134379,0.0542236,0.167177,0.244562,-0.579198,0.0485246,-0.264654,0.271041,-0.0151958,0.207462,-0.133376,-0.208155,0.0765376,-0.00575139,0.112616,0.165323,S,Sess,SessS_Sess,SYH,sS,typ,32.03468,-104.4479
57,KW_Sessiliflora-W_SBL-20_S23,-0.151866,0.282963,-0.371175,0.0403546,0.104998,0.262239,-0.234709,0.506279,0.391731,-0.243956,0.0303252,-0.205658,0.0952904,-0.0896463,0.146786,0.149808,0.0225539,0.104635,-0.0285858,0.0519303,S,Sess,SessW_Sess,SBL,wS,typ,33.34243,-104.33299
58,KW_Sessiliflora-W_SBL-29_S24,-0.14068,0.277467,-0.431187,0.00989665,0.230847,0.053962,0.293653,-0.579774,0.269628,0.0986616,0.319916,0.0467583,-0.032531,0.00808947,-0.0332246,-0.122271,-0.0311012,-0.00112317,-0.00647704,-0.101948,S,Sess,SessW_Sess,SBL,wS,typ,33.34243,-104.33299
59,KW_Sessiliflora-W_SCL-8_S22,-0.104841,0.0880567,0.0460591,-0.0740863,0.033545,-0.0718447,-0.260734,-0.267505,0.151018,0.0303259,-0.514589,-0.413389,-0.0323573,0.351715,0.0203254,-0.218034,-0.233483,0.203669,0.13426,0.105453,S,Sess,SessW_Sess,SCL,wS,typ,33.5655,-101.80032
60,KW_Sessiliflora-W_SDCR-20_S20,-0.154962,0.0281014,0.0262749,-0.0472348,0.0146902,-0.123337,-0.558208,-0.173173,-0.17678,0.134144,0.349531,0.100288,0.0541873,-0.214278,0.175854,-0.0886321,0.182471,0.106513,0.0941456,0.459649,S,Sess,SessW_Sess,SDCR,wS,typ,37.75643,-103.59391
61,KW_Sessiliflora-W_SFC-3_S21,-0.11768,-0.048181,0.00626408,0.0618331,-0.0136763,-0.0446179,-0.0063883,-0.0473372,0.10254,0.100852,-0.144745,0.055385,-0.671311,0.0527568,-0.095464,0.336017,0.479467,0.250303,0.0115029,0.0117747,S,Sess,SessW_Sess,SFC,wS,typ,36.02552,-99.49712
62,KW_Sessiliflora-W_SHR-2_S16,-0.185829,-0.0457516,6.61E-05,-0.0154329,0.00431097,-0.0369616,-0.102201,-0.0111478,-0.0480903,0.0260846,0.0768767,0.0735244,0.0209094,-0.0106174,-0.0257416,0.0328805,-0.084566,-0.0528309,0.00225767,-0.0716001,S,Sess,SessW_Sess,SHR,wS,typ,44.6941767,-105.1989442
63,KW_Sessiliflora-W_SHR-5_S17,-0.177211,-0.0477443,0.010118,-0.00285921,0.0179138,-0.0357589,-0.117789,-0.0238529,-0.0526331,0.0140907,0.0271248,0.0370069,0.036811,0.0121739,0.00916772,0.0100049,-0.0788983,-0.074567,0.00892664,-0.0803147,S,Sess,SessW_Sess,SHR,wS,typ,44.6941767,-105.1989442
64,KW_Sessiliflora-W_SPB-11_S19,-0.19825,-0.0314539,-0.0194152,0.00460675,0.0214772,-0.0695225,-0.250615,0.0434451,-0.0361606,-0.0274376,0.0485292,0.0719637,-0.125853,0.0268365,-0.0923415,0.0460163,-0.124977,-0.152409,-0.0584645,-0.31256,S,Sess,SessW_Sess,SPB,wS,typ,40.80505,-104.01325
65,KW_Sessiliflora-W_SWC-5_S18,-0.183167,-0.056326,-0.0122795,0.0190236,-0.00423404,-0.0596699,-0.112628,-0.00200432,-0.048167,0.00418946,-0.00950609,0.0702291,-0.000957408,0.0899051,-0.0685987,0.103965,-0.0691501,-0.105717,-0.0540155,-0.163602,S,Sess,SessW_Sess,SWC,wS,typ,43.556137,-103.4682402
